Date,Dismissal Location,Time In,Time Out,Time In Clean,Time Out Clean,Time Difference,Diff Mins,carpool_id
11/4/22 14:00,12th Grade,11/4/22 13:25,11/4/22 13:27,13:25,13:27,0:02:00,2,111461
11/4/22 14:00,10th Grade,11/4/22 13:54,11/4/22 15:14,13:54,15:14,1:20:00,80,111487
11/4/22 14:00,10th Grade,11/4/22 14:11,11/4/22 14:20,14:11,14:20,0:09:00,9,111534
11/4/22 14:00,9th Grade,11/4/22 14:15,11/4/22 14:25,14:15,14:25,0:10:00,10,111551
11/4/22 14:00,12th Grade,11/4/22 14:15,11/4/22 14:25,14:15,14:25,0:10:00,10,111551
11/4/22 14:00,10th Grade,11/4/22 14:17,11/4/22 14:23,14:17,14:23,0:06:00,6,111560
11/4/22 14:00,10th Grade,11/4/22 14:21,11/10/22 14:26,14:21,14:26,144:05:00,"8,645",111578
11/4/22 14:00,10th Grade,11/4/22 14:22,11/4/22 14:27,14:22,14:27,0:05:00,5,111580
11/4/22 14:00,11th Grade,11/4/22 14:24,11/8/22 13:47,14:24,13:47,95:23:00,"5,723",111589
11/4/22 14:00,10th Grade,11/4/22 14:29,11/4/22 14:33,14:29,14:33,0:04:00,4,111603
11/4/22 14:00,11th Grade,11/4/22 14:31,11/4/22 15:20,14:31,15:20,0:49:00,49,111613
11/4/22 14:00,9th Grade,11/4/22 14:31,11/4/22 15:20,14:31,15:20,0:49:00,49,111613
11/4/22 14:00,9th Grade,11/4/22 14:33,11/4/22 15:13,14:33,15:13,0:40:00,40,111621
11/4/22 14:00,10th Grade,11/4/22 14:33,11/4/22 14:40,14:33,14:40,0:07:00,7,111622
11/4/22 14:00,11th Grade,11/4/22 14:37,11/4/22 15:18,14:37,15:18,0:41:00,41,111630
11/4/22 14:00,12th Grade,11/4/22 14:38,11/4/22 14:42,14:38,14:42,0:04:00,4,111632
11/4/22 14:00,9th Grade,11/4/22 14:43,11/4/22 15:28,14:43,15:28,0:45:00,45,111638
11/4/22 14:00,9th Grade,11/4/22 14:48,11/4/22 15:16,14:48,15:16,0:28:00,28,111644
11/4/22 14:00,11th Grade,11/4/22 14:49,11/4/22 15:24,14:49,15:24,0:35:00,35,111647
11/4/22 14:00,9th Grade,11/4/22 14:52,11/4/22 15:26,14:52,15:26,0:34:00,34,111653
11/4/22 14:00,11th Grade,11/4/22 14:52,11/4/22 15:26,14:52,15:26,0:34:00,34,111653
11/4/22 14:00,11th Grade,11/4/22 14:55,11/4/22 15:21,14:55,15:21,0:26:00,26,111661
11/4/22 14:00,9th Grade,11/4/22 14:55,11/4/22 15:21,14:55,15:21,0:26:00,26,111661
11/4/22 14:00,10th Grade,11/4/22 14:55,11/4/22 15:20,14:55,15:20,0:25:00,25,111662
11/4/22 14:00,9th Grade,11/4/22 14:55,11/4/22 15:16,14:55,15:16,0:21:00,21,111663
11/4/22 14:00,9th Grade,11/4/22 14:57,11/4/22 15:17,14:57,15:17,0:20:00,20,111668
11/4/22 14:00,12th Grade,11/4/22 14:58,11/4/22 15:18,14:58,15:18,0:20:00,20,111671
11/4/22 14:00,11th Grade,11/4/22 15:00,11/4/22 15:50,15:00,15:50,0:50:00,50,111680
11/4/22 14:00,9th Grade,11/4/22 15:04,11/4/22 15:24,15:04,15:24,0:20:00,20,111689
11/4/22 14:00,9th Grade,11/4/22 15:06,11/4/22 15:17,15:06,15:17,0:11:00,11,111698
11/4/22 14:00,10th Grade,11/4/22 15:08,11/4/22 15:23,15:08,15:23,0:15:00,15,111702
11/4/22 14:00,9th Grade,11/4/22 15:08,11/4/22 15:25,15:08,15:25,0:17:00,17,111706
11/4/22 14:00,10th Grade,11/4/22 15:09,11/4/22 15:23,15:09,15:23,0:14:00,14,111708
11/4/22 14:00,9th Grade,11/4/22 15:09,11/4/22 15:26,15:09,15:26,0:17:00,17,111714
11/4/22 14:00,9th Grade,11/4/22 15:09,11/4/22 15:22,15:09,15:22,0:13:00,13,111717
11/4/22 14:00,9th Grade,11/4/22 15:10,11/4/22 15:26,15:10,15:26,0:16:00,16,111720
11/4/22 14:00,10th Grade,11/4/22 15:10,11/4/22 15:21,15:10,15:21,0:11:00,11,111721
11/4/22 14:00,10th Grade,11/4/22 15:10,11/4/22 15:26,15:10,15:26,0:16:00,16,111722
11/4/22 14:00,10th Grade,11/4/22 15:11,11/4/22 15:21,15:11,15:21,0:10:00,10,111724
11/4/22 14:00,10th Grade,11/4/22 15:12,11/4/22 15:22,15:12,15:22,0:10:00,10,111725
11/4/22 14:00,10th Grade,11/4/22 15:12,11/8/22 15:22,15:12,15:22,96:10:00,"5,770",111727
11/4/22 14:00,11th Grade,11/4/22 15:12,11/8/22 15:22,15:12,15:22,96:10:00,"5,770",111727
11/4/22 14:00,10th Grade,11/4/22 15:16,11/4/22 15:26,15:16,15:26,0:10:00,10,111732
11/4/22 14:00,11th Grade,11/4/22 15:17,11/4/22 15:18,15:17,15:18,0:01:00,1,111733
11/4/22 14:00,9th Grade,11/4/22 15:17,11/4/22 15:18,15:17,15:18,0:01:00,1,111733
11/4/22 14:00,11th Grade,11/4/22 15:18,11/4/22 15:18,15:18,15:18,0:00:00,0,111734
11/4/22 14:00,9th Grade,11/4/22 15:18,11/4/22 15:18,15:18,15:18,0:00:00,0,111734
11/4/22 14:00,11th Grade,11/4/22 15:18,11/4/22 15:30,15:18,15:30,0:12:00,12,111735
11/4/22 14:00,9th Grade,11/4/22 15:18,11/4/22 15:30,15:18,15:30,0:12:00,12,111735
11/4/22 14:00,9th Grade,11/4/22 15:20,11/4/22 15:20,15:20,15:20,0:00:00,0,111739
11/4/22 14:00,9th Grade,11/4/22 15:20,11/4/22 15:28,15:20,15:28,0:08:00,8,111740
11/4/22 14:00,10th Grade,11/4/22 15:21,11/4/22 15:30,15:21,15:30,0:09:00,9,111743
11/4/22 14:00,10th Grade,11/4/22 15:21,11/4/22 15:28,15:21,15:28,0:07:00,7,111747
11/4/22 14:00,12th Grade,11/4/22 15:21,11/4/22 15:28,15:21,15:28,0:07:00,7,111748
11/4/22 14:00,9th Grade,11/4/22 15:22,11/4/22 15:28,15:22,15:28,0:06:00,6,111749
11/4/22 14:00,9th Grade,11/4/22 15:23,11/4/22 15:28,15:23,15:28,0:05:00,5,111750
11/4/22 14:00,9th Grade,11/4/22 15:23,11/4/22 15:29,15:23,15:29,0:06:00,6,111752
11/4/22 14:00,10th Grade,11/4/22 15:24,11/4/22 15:29,15:24,15:29,0:05:00,5,111758
11/4/22 14:00,12th Grade,11/4/22 15:24,11/4/22 15:29,15:24,15:29,0:05:00,5,111759
11/4/22 14:00,11th Grade,11/4/22 15:25,11/4/22 15:30,15:25,15:30,0:05:00,5,111762
11/4/22 14:00,9th Grade,11/4/22 15:25,11/4/22 15:31,15:25,15:31,0:06:00,6,111766
11/4/22 14:00,11th Grade,11/4/22 15:25,11/4/22 15:32,15:25,15:32,0:07:00,7,111767
11/4/22 14:00,11th Grade,11/4/22 15:26,11/4/22 15:29,15:26,15:29,0:03:00,3,111770
11/4/22 14:00,9th Grade,11/4/22 15:26,11/4/22 15:32,15:26,15:32,0:06:00,6,111771
11/4/22 14:00,12th Grade,11/4/22 15:26,11/4/22 15:32,15:26,15:32,0:06:00,6,111771
11/4/22 14:00,10th Grade,11/4/22 15:27,11/4/22 15:32,15:27,15:32,0:05:00,5,111774
11/4/22 14:00,11th Grade,11/4/22 15:28,11/4/22 15:33,15:28,15:33,0:05:00,5,111780
11/4/22 14:00,10th Grade,11/4/22 15:30,11/4/22 15:34,15:30,15:34,0:04:00,4,111784
11/4/22 14:00,9th Grade,11/4/22 15:30,11/4/22 15:34,15:30,15:34,0:04:00,4,111787
11/4/22 14:00,9th Grade,11/4/22 15:30,11/4/22 15:34,15:30,15:34,0:04:00,4,111788
11/4/22 14:00,9th Grade,11/4/22 15:30,11/4/22 15:34,15:30,15:34,0:04:00,4,111789
11/4/22 14:00,9th Grade,11/4/22 15:31,11/4/22 15:36,15:31,15:36,0:05:00,5,111795
11/4/22 14:00,9th Grade,11/4/22 15:32,11/4/22 15:36,15:32,15:36,0:04:00,4,111800
11/4/22 14:00,10th Grade,11/4/22 15:34,11/4/22 15:37,15:34,15:37,0:03:00,3,111812
11/4/22 14:00,9th Grade,11/4/22 15:35,11/4/22 15:38,15:35,15:38,0:03:00,3,111815
11/4/22 14:00,12th Grade,11/4/22 15:35,11/4/22 15:38,15:35,15:38,0:03:00,3,111815
11/4/22 14:00,11th Grade,11/4/22 15:35,11/9/22 16:16,15:35,16:16,120:41:00,"7,241",111819
11/4/22 14:00,11th Grade,11/4/22 15:35,11/4/22 15:39,15:35,15:39,0:04:00,4,111822
11/4/22 14:00,12th Grade,11/4/22 15:36,11/4/22 15:40,15:36,15:40,0:04:00,4,111823
11/4/22 14:00,11th Grade,11/4/22 15:37,11/4/22 15:37,15:37,15:37,0:00:00,0,111833
11/4/22 14:00,11th Grade,11/4/22 15:37,11/4/22 15:41,15:37,15:41,0:04:00,4,111834
11/4/22 14:00,12th Grade,11/4/22 15:38,11/4/22 15:42,15:38,15:42,0:04:00,4,111841
11/4/22 14:00,11th Grade,11/4/22 15:39,11/7/22 15:54,15:39,15:54,72:15:00,"4,335",111845
11/4/22 14:00,9th Grade,11/4/22 15:40,11/4/22 15:43,15:40,15:43,0:03:00,3,111849
11/4/22 14:00,11th Grade,11/4/22 15:40,11/4/22 15:53,15:40,15:53,0:13:00,13,111851
11/4/22 14:00,11th Grade,11/4/22 15:44,11/4/22 15:52,15:44,15:52,0:08:00,8,111857
11/4/22 14:00,9th Grade,11/4/22 15:45,11/4/22 15:52,15:45,15:52,0:07:00,7,111861
11/4/22 14:00,11th Grade,11/4/22 15:50,11/7/22 15:13,15:50,15:13,71:23:00,"4,283",111869
11/4/22 14:00,9th Grade,11/4/22 15:53,11/4/22 15:59,15:53,15:59,0:06:00,6,111872
11/4/22 14:00,9th Grade,11/4/22 15:57,11/7/22 15:51,15:57,15:51,71:54:00,"4,314",111875